layer,neuron,activation,dropout,optimizer,learning rate,L1/L2,momentum,r2_error
6,80,relu,0.2,Adam,0.0005,1.00E-05,,0.719689716
6,80,tanh,0.2,Adam,0.01,0,,0.54530918
6,80,tanh,0.2,Adam,0.01,1.00E-05,,0.665925269
6,80,tanh,0.2,Adam,0.001,0,,0.679329263
6,80,tanh,0.2,Adam,0.001,1.00E-05,,0.566851194
6,80,tanh,0.2,Adam,0.0005,0,,-11.08045757
6,80,tanh,0.2,Adam,0.0005,1.00E-05,,-11.47210769
6,80,relu,0.4,Adam,0.01,0,,0.190657394
6,80,relu,0.4,Adam,0.01,1.00E-05,,-0.0702266
6,80,relu,0.4,Adam,0.001,0,,0.757625874
6,80,relu,0.4,Adam,0.001,1.00E-05,,0.755266743
6,80,relu,0.4,Adam,0.0005,0,,0.675608452
6,80,relu,0.4,Adam,0.0005,1.00E-05,,0.725531545
6,80,tanh,0.4,Adam,0.01,0,,-0.803235827
6,80,tanh,0.4,Adam,0.01,1.00E-05,,-0.265425944
6,80,tanh,0.4,Adam,0.001,0,,-0.074890286
6,80,tanh,0.4,Adam,0.001,1.00E-05,,-0.166405447
6,80,tanh,0.4,Adam,0.0005,0,,-7.5912181
6,80,tanh,0.4,Adam,0.0005,1.00E-05,,-8.786254053
6,120,relu,0.2,Adam,0.01,0,,0.364038581
6,120,relu,0.2,Adam,0.01,1.00E-05,,0.523270966
6,120,relu,0.2,Adam,0.001,0,,0.783282036
6,120,relu,0.2,Adam,0.001,1.00E-05,,0.78761666
6,120,relu,0.2,Adam,0.0005,0,,0.739172307
6,120,relu,0.2,Adam,0.0005,1.00E-05,,0.743878956
6,120,tanh,0.2,Adam,0.01,0,,-0.060198673
6,120,tanh,0.2,Adam,0.01,1.00E-05,,0.573026899
6,120,tanh,0.2,Adam,0.001,0,,-0.385438545
6,120,tanh,0.2,Adam,0.001,1.00E-05,,-0.288836043
6,120,tanh,0.2,Adam,0.0005,0,,-24.73112024
6,120,tanh,0.2,Adam,0.0005,1.00E-05,,-18.46776659
6,120,relu,0.4,Adam,0.01,0,,-0.042150634
6,120,relu,0.4,Adam,0.01,1.00E-05,,0.204241486
6,120,relu,0.4,Adam,0.001,0,,0.758494827
6,120,relu,0.4,Adam,0.001,1.00E-05,,0.696582515
6,120,relu,0.4,Adam,0.0005,0,,0.75382498
6,120,relu,0.4,Adam,0.0005,1.00E-05,,0.73862901
6,120,tanh,0.4,Adam,0.01,0,,-0.488978722
6,120,tanh,0.4,Adam,0.01,1.00E-05,,0.160741526
6,120,tanh,0.4,Adam,0.001,0,,-0.109038165
6,120,tanh,0.4,Adam,0.001,1.00E-05,,-0.367299822
6,120,tanh,0.4,Adam,0.0005,0,,-54.97621308
6,120,tanh,0.4,Adam,0.0005,1.00E-05,,-56.29859406
2,40,relu,0.2,SGD,0.01,0,0.9,0.707643389
2,40,relu,0.2,SGD,0.01,1.00E-05,0.9,0.707685017
2,40,relu,0.2,SGD,0.001,0,0.9,0.698764365
2,40,relu,0.2,SGD,0.001,1.00E-05,0.9,0.658780362
2,40,relu,0.2,SGD,0.0005,0,0.9,0.683887429
2,40,relu,0.2,SGD,0.0005,1.00E-05,0.9,0.688579679
2,40,tanh,0.2,SGD,0.01,0,0.9,0.625353954
2,40,tanh,0.2,SGD,0.01,1.00E-05,0.9,0.703353213
2,40,tanh,0.2,SGD,0.001,0,0.9,0.644651043
2,40,tanh,0.2,SGD,0.001,1.00E-05,0.9,0.645851058
2,40,tanh,0.2,SGD,0.0005,0,0.9,0.617928931
2,40,tanh,0.2,SGD,0.0005,1.00E-05,0.9,0.637517132
2,40,relu,0.4,SGD,0.01,0,0.9,-1
2,40,relu,0.4,SGD,0.01,1.00E-05,0.9,-1
2,40,relu,0.4,SGD,0.001,0,0.9,0.666290274
2,40,relu,0.4,SGD,0.001,1.00E-05,0.9,0.659336163
